Year    IndustryIndustryIndustryUnits   VariableVariableVariableValue   Industry_code_ANZSIC06
    2014Level 4 CC211   Textile Dollars H26     Fixed taFinancia     309ANZSIC06 groups C131, C132, and C133
    2014Level 4 CC211   Textile Dollars H27     AdditionFinancia      31ANZSIC06 groups C131, C132, and C133
    2014Level 4 CC211   Textile Dollars H28     DisposalFinancia      19ANZSIC06 groups C131, C132, and C133
    2014Level 4 CC211   Textile Dollars H29     Other asFinanciaC       ANZSIC06 groups C131, C132, and C133
    2014Level 4 CC211   Textile Dollars H30     Total eqFinancia    1125ANZSIC06 groups C131, C132, and C133
    2014Level 4 CC211   Textile Dollars H31     ShareholFinancia     335ANZSIC06 groups C131, C132, and C133
    2014Level 4 CC211   Textile Dollars H32     Current Financia     470ANZSIC06 groups C131, C132, and C133
    2014Level 4 CC211   Textile Dollars H33     Other liFinancia     320ANZSIC06 groups C131, C132, and C133
    2014Level 4 CC211   Textile Dollars H34     Total inFinancia  318200ANZSIC06 groups C131, C132, and C133
    2014Level 4 CC211   Textile Dollars H35     Surplus Financia   13100ANZSIC06 groups C131, C132, and C133
    2014Level 4 CC211   Textile PercentaH36     Current FinanciaC       ANZSIC06 groups C131, C132, and C133
    2014Level 4 CC211   Textile PercentaH37     Quick raFinanciaC       ANZSIC06 groups C131, C132, and C133
    2014Level 4 CC211   Textile PercentaH38     Margin oFinancia      27ANZSIC06 groups C131, C132, and C133
    2014Level 4 CC211   Textile PercentaH39     Return oFinancia      23ANZSIC06 groups C131, C132, and C133
    2014Level 4 CC211   Textile PercentaH40     Return oFinancia       7ANZSIC06 groups C131, C132, and C133
    2014Level 4 CC211   Textile PercentaH41     LiabilitFinancia      30ANZSIC06 groups C131, C132, and C133
    2014Level 4 CC212   ClothingDollars H01     Total inFinancia     483ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H02     Sales ofFinancia      67ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H03     Sales ofFinancia     413ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H05     InterestFinancia       1ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H06     GovernmeFinancia       0ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H07     Non-operFinancia       2ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H08     Total exFinancia     480ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H09     InterestFinancia       7ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H10     IndirectFinancia       2ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H11     DepreciaFinancia       9ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H12     SalariesFinancia     157ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H13     RedundanFinancia       0ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H17     PurchaseFinancia      45ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H18     Other puFinancia     257ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H20     Non-operFinancia       4ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H21     Opening Financia     122ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H22     Closing Financia     121ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H23     Surplus Financia       2ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H24     Total asFinancia     300ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H25     Current Financia     221ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H26     Fixed taFinancia      57ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H27     AdditionFinancia      10ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H28     DisposalFinancia       4ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H29     Other asFinancia      23ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H30     Total eqFinancia     300ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H31     ShareholFinancia     132ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H32     Current Financia     123ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H33     Other liFinancia      45ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H34     Total inFinancia  126700ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingDollars H35     Surplus Financia     500ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingPercentaH36     Current Financia     180ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingPercentaH37     Quick raFinancia      81ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingPercentaH38     Margin oFinancia      34ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingPercentaH39     Return oFinancia       1ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingPercentaH40     Return oFinancia       1ANZSIC06 groups C134 and C135
    2014Level 4 CC212   ClothingPercentaH41     LiabilitFinancia      44ANZSIC06 groups C134 and C135
    2014Level 3 CC21    Textile,Dollars H01     Total inFinancia    2337ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H02     Sales ofFinancia     213ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H03     Sales ofFinancia    2091ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H05     InterestFinancia      21ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H06     GovernmeFinancia       1ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H07     Non-operFinancia      11ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H08     Total exFinancia    2292ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H09     InterestFinancia      31ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H10     IndirectFinancia       6ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H11     DepreciaFinancia      40ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H12     SalariesFinancia     437ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H13     RedundanFinanciaC       ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H17     PurchaseFinancia     150ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H18     Other puFinancia    1607ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H20     Non-operFinancia      22ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H21     Opening Financia     405ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H22     Closing Financia     439ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H23     Surplus Financia      78ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H24     Total asFinancia    1425ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H25     Current FinanciaC       ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H26     Fixed taFinancia     366ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H27     AdditionFinancia      41ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H28     DisposalFinancia      24ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H29     Other asFinanciaC       ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H30     Total eqFinancia    1425ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H31     ShareholFinancia     466ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H32     Current Financia     593ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H33     Other liFinancia     366ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H34     Total inFinancia  242400ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,Dollars H35     Surplus Financia    8100ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,PercentaH36     Current FinanciaC       ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,PercentaH37     Quick raFinanciaC       ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,PercentaH38     Margin oFinancia      29ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,PercentaH39     Return oFinancia      17ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,PercentaH40     Return oFinancia       5ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 3 CC21    Textile,PercentaH41     LiabilitFinancia      33ANZSIC06 groups C131, C132, C133, C134, and C135
    2014Level 4 CC311   Wood ProDollars H01     Total inFinancia    4723ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H02     Sales ofFinancia     230ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H03     Sales ofFinancia    4432ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H05     InterestFinancia      12ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H06     GovernmeFinancia       1ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H07     Non-operFinancia      49ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H08     Total exFinancia    4627ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H09     InterestFinancia      57ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H10     IndirectFinancia      12ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H11     DepreciaFinancia     139ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H12     SalariesFinancia     862ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H13     RedundanFinancia       1ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H17     PurchaseFinancia     143ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H18     Other puFinancia    3374ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H20     Non-operFinancia      40ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H21     Opening Financia     549ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H22     Closing Financia     545ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H23     Surplus Financia      92ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H24     Total asFinancia    4313ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H25     Current Financia    1506ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H26     Fixed taFinancia    1323ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H27     AdditionFinancia     167ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H28     DisposalFinancia      72ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H29     Other asFinancia    1483ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H30     Total eqFinancia    4313ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H31     ShareholFinancia    1950ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H32     Current Financia    1117ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H33     Other liFinancia    1245ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H34     Total inFinancia  289600ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProDollars H35     Surplus Financia    5600ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProPercentaH36     Current Financia     135ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProPercentaH37     Quick raFinancia      86ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProPercentaH38     Margin oFinancia      38ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProPercentaH39     Return oFinancia       5ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProPercentaH40     Return oFinancia       2ANZSIC06 groups C141 and C149
    2014Level 4 CC311   Wood ProPercentaH41     LiabilitFinancia      45ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H01     Total inFinancia    4723ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H02     Sales ofFinancia     230ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H03     Sales ofFinancia    4432ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H05     InterestFinancia      12ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H06     GovernmeFinancia       1ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H07     Non-operFinancia      49ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H08     Total exFinancia    4627ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H09     InterestFinancia      57ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H10     IndirectFinancia      12ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H11     DepreciaFinancia     139ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H12     SalariesFinancia     862ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H13     RedundanFinancia       1ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H17     PurchaseFinancia     143ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H18     Other puFinancia    3374ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H20     Non-operFinancia      40ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H21     Opening Financia     549ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H22     Closing Financia     545ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H23     Surplus Financia      92ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H24     Total asFinancia    4313ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H25     Current Financia    1506ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H26     Fixed taFinancia    1323ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H27     AdditionFinancia     167ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H28     DisposalFinancia      72ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H29     Other asFinancia    1483ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H30     Total eqFinancia    4313ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H31     ShareholFinancia    1950ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H32     Current Financia    1117ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H33     Other liFinancia    1245ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H34     Total inFinancia  289600ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProDollars H35     Surplus Financia    5600ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProPercentaH36     Current Financia     135ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProPercentaH37     Quick raFinancia      86ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProPercentaH38     Margin oFinancia      38ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProPercentaH39     Return oFinancia       5ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProPercentaH40     Return oFinancia       2ANZSIC06 groups C141 and C149
    2014Level 3 CC31    Wood ProPercentaH41     LiabilitFinancia      45ANZSIC06 groups C141 and C149
    2014Level 4 CC321   Pulp, PaDollars H01     Total inFinancia    3164ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H02     Sales ofFinanciaC       ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H03     Sales ofFinancia    2796ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H05     InterestFinancia       3ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H06     GovernmeFinancia       0ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H07     Non-operFinanciaC       ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H08     Total exFinancia    3083ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H09     InterestFinancia      32ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H10     IndirectFinancia      10ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H11     DepreciaFinancia     138ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H12     SalariesFinancia     391ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H13     RedundanFinanciaC       ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H17     PurchaseFinancia     116ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H18     Other puFinancia    2278ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H20     Non-operFinancia     118ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H21     Opening Financia     422ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H22     Closing Financia     422ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H23     Surplus Financia      82ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H24     Total asFinancia    2525ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H25     Current Financia     999ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H26     Fixed taFinancia    1023ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H27     AdditionFinancia     118ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H28     DisposalFinancia      97ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H29     Other asFinancia     503ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H30     Total eqFinancia    2525ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H31     ShareholFinancia    1494ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H32     Current Financia     574ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H33     Other liFinancia     457ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H34     Total inFinancia  607100ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaDollars H35     Surplus Financia   15700ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaPercentaH36     Current Financia     174ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaPercentaH37     Quick raFinancia     101ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaPercentaH38     Margin oFinanciaC       ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaPercentaH39     Return oFinancia       5ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaPercentaH40     Return oFinancia       3ANZSIC06 groups C151 and C152
    2014Level 4 CC321   Pulp, PaPercentaH41     LiabilitFinancia      59ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H01     Total inFinancia    3164ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H02     Sales ofFinanciaC       ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H03     Sales ofFinancia    2796ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H05     InterestFinancia       3ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H06     GovernmeFinancia       0ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H07     Non-operFinanciaC       ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H08     Total exFinancia    3083ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H09     InterestFinancia      32ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H10     IndirectFinancia      10ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H11     DepreciaFinancia     138ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H12     SalariesFinancia     391ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H13     RedundanFinanciaC       ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H17     PurchaseFinancia     116ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H18     Other puFinancia    2278ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H20     Non-operFinancia     118ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H21     Opening Financia     422ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H22     Closing Financia     422ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H23     Surplus Financia      82ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H24     Total asFinancia    2525ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H25     Current Financia     999ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H26     Fixed taFinancia    1023ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H27     AdditionFinancia     118ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H28     DisposalFinancia      97ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H29     Other asFinancia     503ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H30     Total eqFinancia    2525ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H31     ShareholFinancia    1494ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H32     Current Financia     574ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H33     Other liFinancia     457ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H34     Total inFinancia  607100ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaDollars H35     Surplus Financia   15700ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaPercentaH36     Current Financia     174ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaPercentaH37     Quick raFinancia     101ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaPercentaH38     Margin oFinanciaC       ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaPercentaH39     Return oFinancia       5ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaPercentaH40     Return oFinancia       3ANZSIC06 groups C151 and C152
    2014Level 3 CC32    Pulp, PaPercentaH41     LiabilitFinancia      59ANZSIC06 groups C151 and C152
    2014Level 4 CC411   PrintingDollars H01     Total inFinancia    1673ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H02     Sales ofFinancia     110ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H03     Sales ofFinancia    1553ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H05     InterestFinancia       2ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H06     GovernmeFinancia       0ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H07     Non-operFinancia       7ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H08     Total exFinancia    1601ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H09     InterestFinancia      25ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H10     IndirectFinancia       7ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H11     DepreciaFinancia      66ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H12     SalariesFinancia     466ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H13     RedundanFinancia       1ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H17     PurchaseFinancia     105ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H18     Other puFinancia     921ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H20     Non-operFinancia      11ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H21     Opening Financia     111ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H22     Closing Financia     109ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H23     Surplus Financia      69ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H24     Total asFinancia    1147ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H25     Current Financia     490ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H26     Fixed taFinancia     429ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H27     AdditionFinancia      66ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H28     DisposalFinancia      30ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H29     Other asFinancia     228ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H30     Total eqFinancia    1147ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H31     ShareholFinancia     287ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H32     Current Financia     537ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H33     Other liFinancia     323ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H34     Total inFinancia  196800ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingDollars H35     Surplus Financia    8200ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingPercentaH36     Current Financia      91ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingPercentaH37     Quick raFinancia      71ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingPercentaH38     Margin oFinancia       5ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingPercentaH39     Return oFinancia      24ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingPercentaH40     Return oFinancia       6ANZSIC06 groups C161 and C162
    2014Level 4 CC411   PrintingPercentaH41     LiabilitFinancia      25ANZSIC06 groups C161 and C162
    2014Level 3 CC41    PrintingDollars H01     Total inFinancia    1673ANZSIC06 groups C161 and C162
    2014Level 3 CC41    PrintingDollars H02     Sales ofFinancia     110ANZSIC06 groups C161 and C162
